Test Case 0: predicted = 7; expected = 7; result = true
Test Case 2093: predicted = 8; expected = 8; result = true
Test Case 2094: predicted = 4; expected = 4; result = true
Test Case 2095: predicted = 7; expected = 7; result = true
Test Case 2096: predicted = 0; expected = 0; result = true
Test Case 2097: predicted = 6; expected = 6; result = true
Test Case 2098: predicted = 0; expected = 2; result = false
Test Case 2099: predicted = 8; expected = 8; result = true
Test Case 2100: predicted = 5; expected = 5; result = true
Test Case 2101: predicted = 2; expected = 2; result = true
Test Case 2102: predicted = 8; expected = 8; result = true
Test Case 2103: predicted = 5; expected = 5; result = true
Test Case 2104: predicted = 7; expected = 7; result = true
Test Case 2105: predicted = 3; expected = 3; result = true
Test Case 2106: predicted = 0; expected = 0; result = true
Test Case 2107: predicted = 0; expected = 8; result = false
Test Case 2108: predicted = 2; expected = 2; result = true
Test Case 2109: predicted = 7; expected = 3; result = false
Test Case 2110: predicted = 2; expected = 2; result = true
Test Case 2111: predicted = 8; expected = 8; result = true
Test Case 2112: predicted = 2; expected = 2; result = true
Test Case 2113: predicted = 5; expected = 5; result = true
Test Case 2114: predicted = 5; expected = 5; result = true
Test Case 2115: predicted = 7; expected = 7; result = true
Test Case 2116: predicted = 6; expected = 6; result = true
Test Case 2117: predicted = 4; expected = 4; result = true
Test Case 2118: predicted = 0; expected = 6; result = false
Test Case 2119: predicted = 8; expected = 8; result = true
Test Case 2120: predicted = 4; expected = 4; result = true
Test Case 2121: predicted = 8; expected = 8; result = true
Test Case 2122: predicted = 2; expected = 2; result = true
Test Case 2123: predicted = 7; expected = 7; result = true
Test Case 2124: predicted = 4; expected = 4; result = true
Test Case 2125: predicted = 5; expected = 5; result = true
Test Case 2126: predicted = 2; expected = 2; result = true
Test Case 2127: predicted = 0; expected = 0; result = true
Test Case 2128: predicted = 3; expected = 3; result = true
Test Case 2129: predicted = 2; expected = 9; result = false
Test Case 2130: predicted = 9; expected = 4; result = false
Test Case 2131: predicted = 6; expected = 6; result = true
Test Case 2132: predicted = 7; expected = 7; result = true
Test Case 2133: predicted = 2; expected = 2; result = true
Test Case 2134: predicted = 5; expected = 5; result = true
Test Case 2135: predicted = 1; expected = 6; result = false
Test Case 2136: predicted = 1; expected = 1; result = true
Test Case 2137: predicted = 1; expected = 1; result = true
Test Case 2138: predicted = 2; expected = 2; result = true
Test Case 2139: predicted = 3; expected = 3; result = true
Test Case 2140: predicted = 6; expected = 6; result = true
Test Case 2141: predicted = 7; expected = 7; result = true
Test Case 2142: predicted = 8; expected = 8; result = true
Test Case 2143: predicted = 7; expected = 7; result = true
Test Case 2144: predicted = 6; expected = 6; result = true
Test Case 2145: predicted = 4; expected = 4; result = true
Test Case 2146: predicted = 8; expected = 8; result = true
Test Case 2147: predicted = 9; expected = 9; result = true
Test Case 2148: predicted = 4; expected = 4; result = true
Test Case 2149: predicted = 8; expected = 8; result = true
Test Case 2150: predicted = 6; expected = 6; result = true
Test Case 2151: predicted = 3; expected = 3; result = true
Test Case 2152: predicted = 8; expected = 8; result = true
Test Case 2153: predicted = 3; expected = 3; result = true
Test Case 2154: predicted = 1; expected = 1; result = true
Test Case 2155: predicted = 0; expected = 0; result = true
Test Case 2156: predicted = 6; expected = 6; result = true
Test Case 2157: predicted = 2; expected = 2; result = true
Test Case 2158: predicted = 2; expected = 2; result = true
Test Case 2159: predicted = 5; expected = 5; result = true
Test Case 2160: predicted = 6; expected = 6; result = true
Test Case 2161: predicted = 9; expected = 9; result = true
Test Case 2162: predicted = 5; expected = 5; result = true
Test Case 2163: predicted = 8; expected = 8; result = true
Test Case 2164: predicted = 1; expected = 1; result = true
Test Case 2165: predicted = 4; expected = 4; result = true
Test Case 2166: predicted = 1; expected = 1; result = true
Test Case 2167: predicted = 7; expected = 7; result = true
Test Case 2168: predicted = 8; expected = 8; result = true
Test Case 2169: predicted = 4; expected = 4; result = true
Test Case 2170: predicted = 6; expected = 6; result = true
Test Case 2171: predicted = 1; expected = 1; result = true
Test Case 2172: predicted = 8; expected = 8; result = true
Test Case 2173: predicted = 4; expected = 4; result = true
Test Case 2174: predicted = 3; expected = 3; result = true
Test Case 2175: predicted = 1; expected = 1; result = true
Test Case 2176: predicted = 2; expected = 2; result = true
Test Case 2177: predicted = 8; expected = 8; result = true
Test Case 2178: predicted = 0; expected = 0; result = true
Test Case 2179: predicted = 8; expected = 8; result = true
Test Case 2180: predicted = 5; expected = 5; result = true
Test Case 2181: predicted = 9; expected = 9; result = true
Test Case 2182: predicted = 1; expected = 1; result = true
Test Case 2183: predicted = 4; expected = 4; result = true
Test Case 2184: predicted = 2; expected = 2; result = true
Test Case 2185: predicted = 0; expected = 0; result = true
Test Case 2186: predicted = 2; expected = 2; result = true
Test Case 2187: predicted = 7; expected = 7; result = true
Test Case 2188: predicted = 0; expected = 0; result = true
Test Case 2189: predicted = 1; expected = 9; result = false
Test Case 2190: predicted = 0; expected = 0; result = true
Test Case 2191: predicted = 2; expected = 2; result = true
Test Case 2192: predicted = 5; expected = 5; result = true
Test Case 2193: predicted = 7; expected = 7; result = true
Test Case 2194: predicted = 6; expected = 6; result = true
Test Case 2195: predicted = 7; expected = 7; result = true
Test Case 2196: predicted = 9; expected = 9; result = true
Test Case 2197: predicted = 4; expected = 4; result = true
Test Case 2198: predicted = 2; expected = 2; result = true
Test Case 2199: predicted = 6; expected = 6; result = true
Test Case 2200: predicted = 2; expected = 2; result = true
Test Case 2201: predicted = 4; expected = 4; result = true
Test Case 2202: predicted = 4; expected = 4; result = true
Test Case 2203: predicted = 8; expected = 8; result = true
Test Case 2204: predicted = 0; expected = 0; result = true
Test Case 2205: predicted = 4; expected = 4; result = true
Test Case 2206: predicted = 4; expected = 4; result = true
Test Case 2207: predicted = 5; expected = 5; result = true
Test Case 2208: predicted = 8; expected = 8; result = true
Test Case 2209: predicted = 0; expected = 0; result = true
Test Case 2210: predicted = 6; expected = 6; result = true
Test Case 2211: predicted = 8; expected = 8; result = true
Test Case 2212: predicted = 9; expected = 9; result = true
Test Case 2213: predicted = 8; expected = 8; result = true
Test Case 2214: predicted = 5; expected = 5; result = true
Test Case 2215: predicted = 7; expected = 6; result = false
Test Case 2216: predicted = 9; expected = 9; result = true
Test Case 2217: predicted = 0; expected = 0; result = true
Test Case 2218: predicted = 4; expected = 4; result = true
Test Case 2219: predicted = 8; expected = 8; result = true
Test Case 2220: predicted = 7; expected = 7; result = true
Test Case 2221: predicted = 1; expected = 1; result = true
Test Case 2222: predicted = 3; expected = 3; result = true
Test Case 2223: predicted = 4; expected = 4; result = true
Test Case 2224: predicted = 5; expected = 5; result = true
Test Case 2225: predicted = 8; expected = 8; result = true
Test Case 2226: predicted = 0; expected = 0; result = true
Test Case 2227: predicted = 9; expected = 9; result = true
Test Case 2228: predicted = 1; expected = 1; result = true
Test Case 2229: predicted = 3; expected = 3; result = true
Test Case 2230: predicted = 3; expected = 3; result = true
Test Case 2231: predicted = 6; expected = 6; result = true
Test Case 2232: predicted = 9; expected = 9; result = true
Test Case 2233: predicted = 8; expected = 8; result = true
Test Case 2234: predicted = 7; expected = 7; result = true
Test Case 2235: predicted = 1; expected = 1; result = true
Test Case 2236: predicted = 0; expected = 0; result = true
Test Case 2237: predicted = 5; expected = 5; result = true
Test Case 2238: predicted = 7; expected = 7; result = true
Test Case 2239: predicted = 1; expected = 1; result = true
Test Case 2240: predicted = 7; expected = 7; result = true
Test Case 2241: predicted = 5; expected = 5; result = true
Test Case 2242: predicted = 2; expected = 2; result = true
Test Case 2243: predicted = 7; expected = 7; result = true
Test Case 2244: predicted = 9; expected = 9; result = true
Test Case 2245: predicted = 1; expected = 1; result = true
Test Case 2246: predicted = 8; expected = 8; result = true
Test Case 2247: predicted = 5; expected = 5; result = true
Test Case 2248: predicted = 2; expected = 2; result = true
Test Case 2249: predicted = 4; expected = 4; result = true
Test Case 2250: predicted = 9; expected = 9; result = true
Test Case 2251: predicted = 4; expected = 4; result = true
Test Case 2252: predicted = 7; expected = 7; result = true
Test Case 2253: predicted = 2; expected = 2; result = true
Test Case 2254: predicted = 2; expected = 2; result = true
Test Case 2255: predicted = 3; expected = 3; result = true
Test Case 2256: predicted = 4; expected = 4; result = true
Test Case 2257: predicted = 9; expected = 9; result = true
Test Case 2258: predicted = 1; expected = 1; result = true
Test Case 2259: predicted = 9; expected = 9; result = true
Test Case 2260: predicted = 2; expected = 2; result = true
Test Case 2261: predicted = 1; expected = 1; result = true
Test Case 2262: predicted = 7; expected = 7; result = true
Test Case 2263: predicted = 9; expected = 9; result = true
Test Case 2264: predicted = 4; expected = 4; result = true
Test Case 2265: predicted = 4; expected = 4; result = true
Test Case 2266: predicted = 4; expected = 1; result = false
Test Case 2267: predicted = 6; expected = 6; result = true
Test Case 2268: predicted = 7; expected = 7; result = true
Test Case 2269: predicted = 2; expected = 2; result = true
Test Case 2270: predicted = 7; expected = 7; result = true
Test Case 2271: predicted = 8; expected = 8; result = true
Test Case 2272: predicted = 0; expected = 8; result = false
Test Case 2273: predicted = 1; expected = 1; result = true
Test Case 2274: predicted = 9; expected = 9; result = true
Test Case 2275: predicted = 7; expected = 7; result = true
Test Case 2276: predicted = 1; expected = 1; result = true
Test Case 2277: predicted = 1; expected = 1; result = true
Test Case 2278: predicted = 7; expected = 7; result = true
Test Case 2279: predicted = 5; expected = 5; result = true
Test Case 2280: predicted = 5; expected = 3; result = false
Test Case 2281: predicted = 3; expected = 3; result = true
Test Case 2282: predicted = 5; expected = 5; result = true
Test Case 2283: predicted = 1; expected = 1; result = true
Test Case 2284: predicted = 3; expected = 3; result = true
Test Case 2285: predicted = 7; expected = 7; result = true
Test Case 2286: predicted = 6; expected = 6; result = true
Test Case 2287: predicted = 1; expected = 1; result = true
Test Case 2288: predicted = 3; expected = 3; result = true
Test Case 2289: predicted = 8; expected = 8; result = true
Test Case 2290: predicted = 7; expected = 7; result = true
Test Case 2291: predicted = 5; expected = 5; result = true
Test Case 2292: predicted = 9; expected = 9; result = true
Test Case 2293: predicted = 9; expected = 9; result = true
Test Case 2294: predicted = 0; expected = 0; result = true
Test Case 2295: predicted = 0; expected = 0; result = true
Test Case 2296: predicted = 2; expected = 2; result = true
Test Case 2297: predicted = 8; expected = 8; result = true
Test Case 2298: predicted = 8; expected = 8; result = true
Test Case 2299: predicted = 2; expected = 2; result = true
Test Case 2300: predicted = 3; expected = 3; result = true
Test Case 2301: predicted = 7; expected = 7; result = true
Test Case 2302: predicted = 1; expected = 1; result = true
Test Case 2303: predicted = 3; expected = 3; result = true
Test Case 2304: predicted = 0; expected = 0; result = true
Test Case 2305: predicted = 3; expected = 3; result = true
Test Case 2306: predicted = 4; expected = 4; result = true
Test Case 2307: predicted = 4; expected = 4; result = true
Test Case 2308: predicted = 3; expected = 3; result = true
Test Case 2309: predicted = 8; expected = 8; result = true
Test Case 2310: predicted = 9; expected = 9; result = true
Test Case 2311: predicted = 2; expected = 2; result = true
Test Case 2312: predicted = 3; expected = 3; result = true
Test Case 2313: predicted = 9; expected = 9; result = true
Test Case 2314: predicted = 7; expected = 7; result = true
Test Case 2315: predicted = 1; expected = 1; result = true
Test Case 2316: predicted = 1; expected = 1; result = true
Test Case 2317: predicted = 7; expected = 7; result = true
Test Case 2318: predicted = 0; expected = 0; result = true
Test Case 2319: predicted = 4; expected = 4; result = true
Test Case 2320: predicted = 9; expected = 9; result = true
Test Case 2321: predicted = 6; expected = 6; result = true
Test Case 2322: predicted = 5; expected = 5; result = true
Test Case 2323: predicted = 9; expected = 9; result = true
Test Case 2324: predicted = 1; expected = 1; result = true
Test Case 2325: predicted = 7; expected = 7; result = true
Test Case 2326: predicted = 0; expected = 0; result = true
Test Case 2327: predicted = 2; expected = 2; result = true
Test Case 2328: predicted = 0; expected = 0; result = true
Test Case 2329: predicted = 2; expected = 0; result = false
Test Case 2330: predicted = 4; expected = 4; result = true
Test Case 2331: predicted = 6; expected = 6; result = true
Test Case 2332: predicted = 7; expected = 7; result = true
Test Case 2333: predicted = 0; expected = 0; result = true
Test Case 2334: predicted = 7; expected = 7; result = true
Test Case 2335: predicted = 1; expected = 1; result = true
Test Case 2336: predicted = 4; expected = 4; result = true
Test Case 2337: predicted = 6; expected = 6; result = true
Test Case 2338: predicted = 4; expected = 4; result = true
Test Case 2339: predicted = 5; expected = 5; result = true
Test Case 2340: predicted = 4; expected = 4; result = true
Test Case 2341: predicted = 9; expected = 9; result = true
Test Case 2342: predicted = 9; expected = 9; result = true
Test Case 2343: predicted = 1; expected = 1; result = true
Test Case 2344: predicted = 7; expected = 7; result = true
Test Case 2345: predicted = 9; expected = 9; result = true
Test Case 2346: predicted = 5; expected = 5; result = true
Test Case 2347: predicted = 3; expected = 3; result = true
Test Case 2348: predicted = 3; expected = 3; result = true
Test Case 2349: predicted = 8; expected = 8; result = true
Test Case 2350: predicted = 2; expected = 2; result = true
Test Case 2351: predicted = 3; expected = 3; result = true
Test Case 2352: predicted = 6; expected = 6; result = true
Test Case 2353: predicted = 2; expected = 2; result = true
Test Case 2354: predicted = 2; expected = 2; result = true
Test Case 2355: predicted = 1; expected = 1; result = true
Test Case 2356: predicted = 1; expected = 1; result = true
Test Case 2357: predicted = 1; expected = 1; result = true
Test Case 2358: predicted = 1; expected = 1; result = true
Test Case 2359: predicted = 1; expected = 1; result = true
Test Case 2360: predicted = 6; expected = 6; result = true
Test Case 2361: predicted = 9; expected = 9; result = true
Test Case 2362: predicted = 8; expected = 8; result = true
Test Case 2363: predicted = 4; expected = 4; result = true
Test Case 2364: predicted = 3; expected = 3; result = true
Test Case 2365: predicted = 7; expected = 7; result = true
Test Case 2366: predicted = 1; expected = 1; result = true
Test Case 2367: predicted = 6; expected = 6; result = true
Test Case 2368: predicted = 4; expected = 4; result = true
Test Case 2369: predicted = 5; expected = 5; result = true
Test Case 2370: predicted = 0; expected = 0; result = true
Test Case 2371: predicted = 4; expected = 4; result = true
Test Case 2372: predicted = 7; expected = 7; result = true
Test Case 2373: predicted = 4; expected = 4; result = true
Test Case 2374: predicted = 2; expected = 2; result = true
Test Case 2375: predicted = 4; expected = 4; result = true
Test Case 2376: predicted = 0; expected = 0; result = true
Test Case 2377: predicted = 7; expected = 7; result = true
Test Case 2378: predicted = 0; expected = 0; result = true
Test Case 2379: predicted = 1; expected = 1; result = true
Test Case 2380: predicted = 9; expected = 9; result = true
Test Case 2381: predicted = 8; expected = 8; result = true
Test Case 2382: predicted = 8; expected = 8; result = true
Test Case 2383: predicted = 6; expected = 6; result = true
Test Case 2384: predicted = 0; expected = 0; result = true
Test Case 2385: predicted = 0; expected = 0; result = true
Test Case 2386: predicted = 4; expected = 4; result = true
Test Case 2387: predicted = 1; expected = 9; result = false
Test Case 2388: predicted = 6; expected = 6; result = true
Test Case 2389: predicted = 8; expected = 8; result = true
Test Case 2390: predicted = 2; expected = 2; result = true
Test Case 2391: predicted = 2; expected = 2; result = true
Test Case 2392: predicted = 3; expected = 3; result = true
Test Case 2393: predicted = 8; expected = 8; result = true
Test Case 2394: predicted = 4; expected = 4; result = true
Test Case 2395: predicted = 3; expected = 8; result = false
Test Case 2396: predicted = 2; expected = 2; result = true
Test Case 2397: predicted = 2; expected = 2; result = true
Test Case 2398: predicted = 1; expected = 1; result = true
Test Case 2399: predicted = 7; expected = 7; result = true
Test Case 2400: predicted = 5; expected = 5; result = true
Test Case 2401: predicted = 4; expected = 4; result = true
Test Case 2402: predicted = 4; expected = 4; result = true
Test Case 2403: predicted = 0; expected = 0; result = true
Test Case 2404: predicted = 4; expected = 4; result = true
Test Case 2405: predicted = 3; expected = 3; result = true
Test Case 2406: predicted = 4; expected = 9; result = false
Test Case 2407: predicted = 7; expected = 7; result = true
Test Case 2408: predicted = 3; expected = 3; result = true
Test Case 2409: predicted = 1; expected = 1; result = true
Test Case 2410: predicted = 0; expected = 0; result = true
Test Case 2411: predicted = 1; expected = 1; result = true
Test Case 2412: predicted = 2; expected = 2; result = true
Test Case 2413: predicted = 5; expected = 5; result = true
Test Case 2414: predicted = 4; expected = 9; result = false
Test Case 2415: predicted = 2; expected = 2; result = true
Test Case 2416: predicted = 1; expected = 1; result = true
Test Case 2417: predicted = 0; expected = 0; result = true
Test Case 2418: predicted = 1; expected = 1; result = true
Test Case 2419: predicted = 8; expected = 8; result = true
Test Case 2420: predicted = 9; expected = 9; result = true
Test Case 2421: predicted = 1; expected = 1; result = true
Test Case 2422: predicted = 6; expected = 6; result = true
Test Case 2423: predicted = 8; expected = 8; result = true
Test Case 2424: predicted = 3; expected = 3; result = true
Test Case 2425: predicted = 7; expected = 8; result = false
Test Case 2426: predicted = 4; expected = 9; result = false
Test Case 2427: predicted = 3; expected = 3; result = true
Test Case 2428: predicted = 6; expected = 6; result = true
Test Case 2429: predicted = 2; expected = 2; result = true
Test Case 2430: predicted = 8; expected = 8; result = true
Test Case 2431: predicted = 3; expected = 3; result = true
Test Case 2432: predicted = 2; expected = 2; result = true
Test Case 2433: predicted = 2; expected = 2; result = true
Test Case 2434: predicted = 1; expected = 1; result = true
Test Case 2435: predicted = 0; expected = 0; result = true
Test Case 2436: predicted = 4; expected = 4; result = true
Test Case 2437: predicted = 2; expected = 2; result = true
Test Case 2438: predicted = 9; expected = 9; result = true
Test Case 2439: predicted = 2; expected = 2; result = true
Test Case 2440: predicted = 4; expected = 4; result = true
Test Case 2441: predicted = 3; expected = 3; result = true
Test Case 2442: predicted = 7; expected = 7; result = true
Test Case 2443: predicted = 9; expected = 9; result = true
Test Case 2444: predicted = 1; expected = 1; result = true
Test Case 2445: predicted = 5; expected = 5; result = true
Test Case 2446: predicted = 2; expected = 2; result = true
Test Case 2447: predicted = 4; expected = 4; result = true
Test Case 2448: predicted = 9; expected = 9; result = true
Test Case 2449: predicted = 0; expected = 0; result = true
Test Case 2450: predicted = 3; expected = 3; result = true
Test Case 2451: predicted = 8; expected = 8; result = true
Test Case 2452: predicted = 5; expected = 5; result = true
Test Case 2453: predicted = 3; expected = 3; result = true
Test Case 2454: predicted = 6; expected = 6; result = true
Test Case 2455: predicted = 0; expected = 0; result = true
Test Case 2456: predicted = 9; expected = 9; result = true
Test Case 2457: predicted = 4; expected = 4; result = true
Test Case 2458: predicted = 6; expected = 6; result = true
Test Case 2459: predicted = 2; expected = 2; result = true
Test Case 2460: predicted = 5; expected = 5; result = true
Test Case 2461: predicted = 0; expected = 0; result = true
Test Case 2462: predicted = 2; expected = 2; result = true
Test Case 2463: predicted = 7; expected = 7; result = true
Test Case 2464: predicted = 4; expected = 4; result = true
Test Case 2465: predicted = 6; expected = 6; result = true
Test Case 2466: predicted = 6; expected = 6; result = true
Test Case 2467: predicted = 8; expected = 8; result = true
Test Case 2468: predicted = 6; expected = 6; result = true
Test Case 2469: predicted = 6; expected = 6; result = true
Test Case 2470: predicted = 8; expected = 8; result = true
Test Case 2471: predicted = 6; expected = 6; result = true
Test Case 2472: predicted = 9; expected = 9; result = true
Test Case 2473: predicted = 1; expected = 1; result = true
Test Case 2474: predicted = 7; expected = 7; result = true
Test Case 2475: predicted = 2; expected = 2; result = true
Test Case 2476: predicted = 5; expected = 5; result = true
Test Case 2477: predicted = 9; expected = 9; result = true
Test Case 2478: predicted = 9; expected = 9; result = true
Test Case 2479: predicted = 0; expected = 0; result = true
Test Case 2480: predicted = 7; expected = 7; result = true
Test Case 2481: predicted = 2; expected = 2; result = true
Test Case 2482: predicted = 7; expected = 7; result = true
Test Case 2483: predicted = 6; expected = 6; result = true
Test Case 2484: predicted = 7; expected = 7; result = true
Test Case 2485: predicted = 0; expected = 0; result = true
Test Case 2486: predicted = 4; expected = 6; result = false
Test Case 2487: predicted = 5; expected = 5; result = true
Test Case 2488: predicted = 4; expected = 2; result = false
Test Case 2489: predicted = 4; expected = 4; result = true
Test Case 2490: predicted = 7; expected = 7; result = true
Test Case 2491: predicted = 2; expected = 2; result = true
Test Case 2492: predicted = 0; expected = 0; result = true
Test Case 2493: predicted = 9; expected = 9; result = true
Test Case 2494: predicted = 9; expected = 9; result = true
Test Case 2495: predicted = 2; expected = 2; result = true
Test Case 2496: predicted = 2; expected = 2; result = true
Test Case 2497: predicted = 9; expected = 9; result = true
Test Case 2498: predicted = 4; expected = 4; result = true
Test Case 2499: predicted = 4; expected = 4; result = true
Test Case 2500: predicted = 2; expected = 2; result = true
Test Case 2501: predicted = 3; expected = 3; result = true
Test Case 2502: predicted = 3; expected = 3; result = true
Test Case 2503: predicted = 2; expected = 2; result = true
Test Case 2504: predicted = 1; expected = 1; result = true
Test Case 2505: predicted = 7; expected = 7; result = true
Test Case 2506: predicted = 0; expected = 0; result = true
Test Case 2507: predicted = 7; expected = 7; result = true
Test Case 2508: predicted = 6; expected = 6; result = true
Test Case 2509: predicted = 4; expected = 4; result = true
Test Case 2510: predicted = 1; expected = 1; result = true
Test Case 2511: predicted = 3; expected = 3; result = true
Test Case 2512: predicted = 8; expected = 8; result = true
Test Case 2513: predicted = 7; expected = 7; result = true
Test Case 2514: predicted = 4; expected = 4; result = true
Test Case 2515: predicted = 5; expected = 5; result = true
Test Case 2516: predicted = 9; expected = 9; result = true
Test Case 2517: predicted = 2; expected = 2; result = true
Test Case 2518: predicted = 5; expected = 5; result = true
Test Case 2519: predicted = 1; expected = 1; result = true
Test Case 2520: predicted = 8; expected = 8; result = true
Test Case 2521: predicted = 7; expected = 7; result = true
Test Case 2522: predicted = 3; expected = 3; result = true
Test Case 2523: predicted = 7; expected = 7; result = true
Test Case 2524: predicted = 1; expected = 1; result = true
Test Case 2525: predicted = 5; expected = 5; result = true
Test Case 2526: predicted = 5; expected = 5; result = true
Test Case 2527: predicted = 0; expected = 0; result = true
Test Case 2528: predicted = 9; expected = 9; result = true
Test Case 2529: predicted = 1; expected = 1; result = true
Test Case 2530: predicted = 4; expected = 4; result = true
Test Case 2531: predicted = 0; expected = 0; result = true
Test Case 2532: predicted = 6; expected = 6; result = true
Test Case 2533: predicted = 3; expected = 3; result = true
Test Case 2534: predicted = 3; expected = 3; result = true
Test Case 2535: predicted = 6; expected = 6; result = true
Test Case 2536: predicted = 0; expected = 0; result = true
Test Case 2537: predicted = 4; expected = 4; result = true
Test Case 2538: predicted = 9; expected = 9; result = true
Test Case 2539: predicted = 7; expected = 7; result = true
Test Case 2540: predicted = 5; expected = 5; result = true
Test Case 2541: predicted = 1; expected = 1; result = true
Test Case 2542: predicted = 6; expected = 6; result = true
Test Case 2543: predicted = 8; expected = 8; result = true
Test Case 2544: predicted = 9; expected = 9; result = true
Test Case 2545: predicted = 5; expected = 5; result = true
Test Case 2546: predicted = 5; expected = 5; result = true
Test Case 2547: predicted = 7; expected = 7; result = true
Test Case 2548: predicted = 9; expected = 9; result = true
Test Case 2549: predicted = 3; expected = 3; result = true
Test Case 2550: predicted = 8; expected = 8; result = true
Test Case 2551: predicted = 3; expected = 3; result = true
Test Case 2552: predicted = 8; expected = 8; result = true
Test Case 2553: predicted = 1; expected = 1; result = true
Test Case 2554: predicted = 5; expected = 5; result = true
Test Case 2555: predicted = 3; expected = 3; result = true
Test Case 2556: predicted = 5; expected = 5; result = true
Test Case 2557: predicted = 0; expected = 0; result = true
Test Case 2558: predicted = 5; expected = 5; result = true
Test Case 2559: predicted = 5; expected = 5; result = true
Test Case 2560: predicted = 3; expected = 3; result = true
Test Case 2561: predicted = 8; expected = 8; result = true
Test Case 2562: predicted = 6; expected = 6; result = true
Test Case 2563: predicted = 7; expected = 7; result = true
Test Case 2564: predicted = 7; expected = 7; result = true
Test Case 2565: predicted = 3; expected = 7; result = false
Test Case 2566: predicted = 3; expected = 3; result = true
Test Case 2567: predicted = 7; expected = 7; result = true
Test Case 2568: predicted = 0; expected = 0; result = true
Test Case 2569: predicted = 5; expected = 5; result = true
Test Case 2570: predicted = 9; expected = 9; result = true
Test Case 2571: predicted = 0; expected = 0; result = true
Test Case 2572: predicted = 2; expected = 2; result = true
Test Case 2573: predicted = 5; expected = 5; result = true
Test Case 2574: predicted = 5; expected = 5; result = true
Test Case 2575: predicted = 3; expected = 3; result = true
Test Case 2576: predicted = 1; expected = 1; result = true
Test Case 2577: predicted = 7; expected = 7; result = true
Test Case 2578: predicted = 7; expected = 7; result = true
Test Case 2579: predicted = 8; expected = 8; result = true
Test Case 2580: predicted = 6; expected = 6; result = true
Test Case 2581: predicted = 5; expected = 5; result = true
Test Case 2582: predicted = 9; expected = 9; result = true
Test Case 2583: predicted = 3; expected = 3; result = true
Test Case 2584: predicted = 8; expected = 8; result = true
Test Case 2585: predicted = 9; expected = 9; result = true
Test Case 2586: predicted = 5; expected = 5; result = true
Test Case 2587: predicted = 3; expected = 3; result = true
Test Case 2588: predicted = 7; expected = 7; result = true
Test Case 2589: predicted = 9; expected = 9; result = true
Test Case 2590: predicted = 1; expected = 1; result = true
Test Case 2591: predicted = 7; expected = 7; result = true
Test Case 2592: predicted = 0; expected = 0; result = true
Test Case 2593: predicted = 0; expected = 0; result = true
Test Case 2594: predicted = 3; expected = 3; result = true
Test Case 2595: predicted = 7; expected = 7; result = true
Test Case 2596: predicted = 2; expected = 2; result = true
Test Case 2597: predicted = 5; expected = 5; result = true
Test Case 2598: predicted = 8; expected = 8; result = true
Test Case 2599: predicted = 1; expected = 1; result = true
Test Case 2600: predicted = 8; expected = 8; result = true
Test Case 2601: predicted = 6; expected = 6; result = true
Test Case 2602: predicted = 2; expected = 2; result = true
Test Case 2603: predicted = 9; expected = 9; result = true
Test Case 2604: predicted = 5; expected = 5; result = true
Test Case 2605: predicted = 7; expected = 7; result = true
Test Case 2606: predicted = 5; expected = 5; result = true
Test Case 2607: predicted = 7; expected = 7; result = true
Test Case 2608: predicted = 8; expected = 8; result = true
Test Case 2609: predicted = 6; expected = 6; result = true
Test Case 2610: predicted = 2; expected = 2; result = true
Test Case 2611: predicted = 5; expected = 5; result = true
Test Case 2612: predicted = 1; expected = 1; result = true
Test Case 2613: predicted = 4; expected = 4; result = true
Test Case 2614: predicted = 8; expected = 8; result = true
Test Case 2615: predicted = 4; expected = 4; result = true
Test Case 2616: predicted = 5; expected = 5; result = true
Test Case 2617: predicted = 8; expected = 8; result = true
Test Case 2618: predicted = 3; expected = 3; result = true
Test Case 2619: predicted = 0; expected = 0; result = true
Test Case 2620: predicted = 6; expected = 6; result = true
Test Case 2621: predicted = 2; expected = 2; result = true
Test Case 2622: predicted = 7; expected = 7; result = true
Test Case 2623: predicted = 3; expected = 3; result = true
Test Case 2624: predicted = 3; expected = 3; result = true
Test Case 2625: predicted = 2; expected = 2; result = true
Test Case 2626: predicted = 1; expected = 1; result = true
Test Case 2627: predicted = 0; expected = 0; result = true
Test Case 2628: predicted = 7; expected = 7; result = true
Test Case 2629: predicted = 3; expected = 3; result = true
Test Case 2630: predicted = 4; expected = 4; result = true
Test Case 2631: predicted = 0; expected = 0; result = true
Test Case 2632: predicted = 3; expected = 3; result = true
Test Case 2633: predicted = 9; expected = 9; result = true
Test Case 2634: predicted = 3; expected = 3; result = true
Test Case 2635: predicted = 2; expected = 2; result = true
Test Case 2636: predicted = 8; expected = 8; result = true
Test Case 2637: predicted = 9; expected = 9; result = true
Test Case 2638: predicted = 0; expected = 0; result = true
Test Case 2639: predicted = 3; expected = 3; result = true
Test Case 2640: predicted = 8; expected = 8; result = true
Test Case 2641: predicted = 0; expected = 0; result = true
Test Case 2642: predicted = 7; expected = 7; result = true
Test Case 2643: predicted = 6; expected = 6; result = true
Test Case 2644: predicted = 5; expected = 5; result = true
Test Case 2645: predicted = 4; expected = 4; result = true
Test Case 2646: predicted = 7; expected = 7; result = true
Test Case 2647: predicted = 3; expected = 3; result = true
Test Case 2648: predicted = 9; expected = 9; result = true
Test Case 2649: predicted = 0; expected = 0; result = true
Test Case 2650: predicted = 8; expected = 8; result = true
Test Case 2651: predicted = 6; expected = 6; result = true
